id,area,mean,stddev,mode,min,max,perim.,width,height,major,minor,angle,circ.,feret,intden,median,skew,kurt,%area,area_exc,fractal,skelarea,slope,histcum1,histcum2,histcum3,nb1,nb2,nb3,symetrieh,symetriev,symetriehc,symetrievc,convperim,convarea,fcons,thickr,esd,elongation,range,centroids,sr,perimareaexc,feretareaexc,perimferet,perimmajor,circex,cdexc
287,1280,227.78,11.088,231,186,251,407,81,61,64,25.4,0.8,0.097,86.7,291561,230,-0.922,0.637,0.55,1273,1.222,214,0.177,221,229,235,2,3,0,5.023,5.226,6,6,280,3428,7.659,2.25,814,2.56,65,4,16.9230769230769,0.319717203456402,0.0683424980361351,4.67816091954023,6.359375,39.4987402273561,0.00314218381775334
288,1980,221.235353535354,33.1227701224154,243,92,255,574.021428024809,70,73,59.1704105590296,42.6059963883571,68.0310677204958,0.0755124993069644,80.4487414444751,438046,233,-2.25432098749378,4.55666932664821,8.23232323232323,1817,1.34346466563394,472,0.242532617662062,216,230,238,3,5,6,3.15833333333333,3.18282828282828,3.6735807860262,3.70687772925764,282,3702,141.602490234375,1.66178737852658,1260,1.37209302325581,163,-1,20.2453987730061,0.315905338470006,0.0440286186020914,7.175,9.72881355932203,39.9179989620465,-5.50357732526142e-4
289,1154,214.27,25.951,239,131,246,255.81,73,44,67.5,21.8,160,0.222,76.2,247268,223,-1.119,0.315,0.43,1149,1.171,152,0.113,200,222,233,3,4,0,4.068,4.016,4,4,230,1931,5.065,1.803,38.3316896917469,3.09090909090909,115,1,22.6086956521739,7.55231248339363,2.24209276850749,3.36842105263158,3.76470588235294,0.220317990660075,0.0295012206382564
290,3400,203.64,17.964,194,159,243,319.5,93,76,95.7,45.2,147,0.419,111.3,692366,202,0.291,-0.634,0,3400,1.12,176,0.317,189,201,215,2,3,0,2.852,2.776,3,3,333,4067,2.89,2.091,65.7952464247954,2.13333333333333,84,1.4142135623731,21.4285714285714,5.48795472456028,1.90363429508185,2.88288288288288,3.33333333333333,0.417242774304894,0.0242535625036333
291,1095,158.37,49.084,117,56,243,156.75,43,44,41.9,33.3,36.1,0.56,47.2,173410,151,0.204,-1.176,0,1095,1.064,83,0.055,116,150,203,2,1,0,2.227,2.286,2,2,170,1275,0.878,1.456,696,1.27272727272727,187,4,26.2032085561497,0.14337899543379,0.0429223744292237,3.34042553191489,3.73809523809524,86.5419863064358,0.00365296803652968
292,1165,222.34678111588,19.9796266598846,242,162,246,373.989898732233,67,57,45.6935772938116,32.4624193916495,153.941576464396,0.104668510709266,72.0069441095788,259034,231,-0.893632523082039,-0.326768790635067,0.515021459227468,1159,1.2212425340114,227,0.149989460830321,205,230,238,3,2,0,3.90257510729614,4.03218884120172,4.54375,4.64875,243,2410,26.1404418945312,2.24390243902439,38.5139464300461,1.4375,84,0,23.8095238095238,10.9857543648411,2.11490458360577,5.19444444444444,8.1304347826087,0.104123820684337,0
293,804,235.31,12.057,242,182,250,324.42,51,30,43.5,23.5,174.1,0.096,51.2,189191,240,-2.159,4.489,9.95,724,1.245,300,0.164,232,238,241,1,1,0,2.475,2.633,3,3,158,1198,94.657,2.027,31.9950714011873,1.83333333333333,68,0,17.6470588235294,12.0413651692041,1.89540007293027,6.35294117647059,7.36363636363636,0.0866679271909393,0
294,10156,237.72,23.352,254,122,255,1391.76,301,173,215.8,59.9,157.3,0.066,332.3,2414248,250,-1.579,1.829,63.15,3742,1.296,737,0.353,196,214,232,1,6,0,8.116,8.207,9,9,944,25322,179.599,8.082,113.714646445963,3.6,133,3.16227766016838,17.2932330827068,22.7555503592844,5.42732953971438,4.19277108433735,6.44444444444444,0.0242680665166572,0.0516949486681046
295,3219,230.11,13.292,241,170,255,843.18,87,151,79.4,51.6,111.8,0.057,164.3,740738,234,-1.347,1.843,5.41,3045,1.342,652,0.446,222,232,238,5,4,0,6.249,6.353,4,4,472,7920,244.272,3.673,64.0199819939251,1.51923076923077,85,0,15.2941176470588,15.2768539303697,2.97200954280027,5.14024390243902,10.6708860759494,0.0538445822350045,0
296,934,203.371520342612,29.9150652350675,233,105,250,194.350288425444,53,41,47.2212407459083,25.1837036892278,32.403974196439,0.310732272557456,56.938563381947,189949,207,-0.774078116172401,0.0989870249766809,0.642398286937901,928,1.13514744094219,121,0.0720992614335253,184,206,227,2,1,0,2.9271948608137,3.03265524625268,3.46026011560694,3.66618497109827,184,1277,2.84041341145833,1.97647058823529,34.4848624005177,1.88,145,1,20.6896551724138,6.36836199369654,1.87111666825105,3.40350877192982,4.12765957446809,0.309852054685017,0.0328266082149306
297,939,230.495207667732,10.3976752585881,236,188,249,218.492424049175,58,33,50.0582728493655,23.8836033377343,174.632533518419,0.247173945700783,58.6941223633168,216435,233,-1.15320607972547,1.52066867217242,1.70394036208733,923,1.17226474664043,203,0.139060167240257,224,231,237,4,4,2,3.06496272630458,3.09850905218317,3.016,3.1208,178,1269,15.2679998224432,3.5,34.5770434321143,2.08333333333333,61,0,16.3934426229508,7.1755574035753,1.94200865509607,3.69491525423729,4.36,0.244061107588871,0
298,2418,220.61,22.728,242,133,250,590.02,80,109,70,44,115.5,0.087,111.6,533436,228,-1.293,1.184,2.89,2348,1.27,476,0.269,208,226,237,2,1,0,4.841,4.915,3,3,374,5397,91.119,3.568,1538,1.59090909090909,117,4,19.6581196581197,0.251277683134583,0.0477001703577513,5.26785714285714,8.42857142857143,50.1799969430533,0.00170357751277683
299,1342,208.5,37.337,237,78,255,233.91,63,57,60.4,28.3,34.6,0.308,70.7,279810,222,-1.406,1.618,5.44,1269,1.192,181,0.114,185,219,234,2,2,0,3.404,3.504,3,3,235,1978,10.976,5.056,41.3362730423848,2.14285714285714,177,1,20.9039548022599,6.56878498431885,1.9930928798574301,3.29577464788732,3.9,0.291232455066509,0.0280717307022173
300,82318,46.62,47.907,28,25,253,1684.22,356,400,459.6,228.1,50.3,0.365,479.5,3837972,30,3.134,8.671,0.12,82221,1.097,4872,17.932,27,29,34,32,31,0,2.399,2.404,3,3,1508,90655,10.591,1.745,323.744548747171,2.01754385964912,228,6.32455532033676,21.0526315789474,5.87287435924182,1.67397843968888,3.50833333333333,3.66086956521739,0.364341334074518,0.0220566025976319
381,14240,235.77,7.559,240,192,255,588.26,146,147,140.3,129.2,132.5,0.517,153.4,3357411,237,-0.867,1.116,12.42,12472,1.542,3345,2.287,230,235,239,18,19,0,1.817,1.885,2,2,582,15200,238.491,2.813,134.651145992259,1.08527131782946,63,1,12.6984126984127,5.26513213706765,1.37000887240026,3.84313725490196,4.2,0.453305839876578,0.00895430635555723
382,18284,238.3,8.625,243,181,255,1203.8,159,256,272.8,85.3,63.7,0.159,284.4,4357132,240,-1.249,2.628,29.08,12967,1.62,4386,2.477,230,236,240,14,26,0,3.142,3.141,4,4,826,21899,252.769,4.928,152.577560066799,3.21176470588235,74,0,12.1621621621622,10.5732069192712,2.49401226334967,4.23943661971831,4.41025641025641,0.112407787825462,0
383,3565,234.96,8.351,241,189,253,770.51,87,104,102.4,44.3,122.7,0.075,117.4,837643,237,-1.375,2.463,7.07,3313,1.414,952,0.608,230,235,239,5,5,0,3.121,3.161,4,4,378,5433,251.873,6.789,67.3728356014563,2.31818181818182,64,0,12.5,13.3950290593697,2.03270868994326,6.58974358974359,7.55882352941176,0.0700361950897935,0
384,2199,221.99,24.504,243,97,250,719.72,141,85,82,34.2,156.1,0.053,145,488157,232,-1.872,3.922,1.91,2157,1.292,506,0.276,213,230,238,2,4,0,8.056,8.05,8,8,448,6404,108.174,4.828,1398,2.41176470588235,153,5,16.3398692810458,0.333796940194715,0.0672229949003245,4.96551724137931,8.78048780487805,37.5424673340343,0.00231803430690774
